[a5] 24 total runs (group x horizon), fusion=concat
[a5_single_weekly_concat_5d] epoch 039/060 val_loss=100.45480347 best_val_loss=100.45480347 bad_epochs=0/8 epoch_time=00:00:16 eta=00:05:43
[a5_single_weekly_concat_5d] epoch 040/060 val_loss=568.37269287 best_val_loss=100.45480347 bad_epochs=1/8 epoch_time=00:00:16 eta=00:05:26
[a5_single_weekly_concat_5d] epoch 041/060 val_loss=525.82274780 best_val_loss=100.45480347 bad_epochs=2/8 epoch_time=00:00:16 eta=00:05:10
[a5_single_weekly_concat_5d] epoch 042/060 val_loss=522.17930908 best_val_loss=100.45480347 bad_epochs=3/8 epoch_time=00:00:16 eta=00:04:54
[a5_single_weekly_concat_5d] epoch 043/060 val_loss=79.02684097 best_val_loss=79.02684097 bad_epochs=0/8 epoch_time=00:00:17 eta=00:04:37
[a5_single_weekly_concat_5d] epoch 044/060 val_loss=59.06515198 best_val_loss=59.06515198 bad_epochs=0/8 epoch_time=00:00:16 eta=00:04:21
[a5_single_weekly_concat_5d] epoch 045/060 val_loss=44.10697594 best_val_loss=44.10697594 bad_epochs=0/8 epoch_time=00:00:16 eta=00:04:05
[a5_single_weekly_concat_5d] epoch 046/060 val_loss=54.79992142 best_val_loss=44.10697594 bad_epochs=1/8 epoch_time=00:00:16 eta=00:03:49
[a5_single_weekly_concat_5d] epoch 047/060 val_loss=515.19097290 best_val_loss=44.10697594 bad_epochs=2/8 epoch_time=00:00:16 eta=00:03:32
[a5_single_weekly_concat_5d] epoch 048/060 val_loss=463.66820679 best_val_loss=44.10697594 bad_epochs=3/8 epoch_time=00:00:16 eta=00:03:16
[a5_single_weekly_concat_5d] epoch 049/060 val_loss=766.13776855 best_val_loss=44.10697594 bad_epochs=4/8 epoch_time=00:00:16 eta=00:03:00
[a5_single_weekly_concat_5d] epoch 050/060 val_loss=789.24029541 best_val_loss=44.10697594 bad_epochs=5/8 epoch_time=00:00:16 eta=00:02:43
[a5_single_weekly_concat_5d] epoch 051/060 val_loss=213.12202454 best_val_loss=44.10697594 bad_epochs=6/8 epoch_time=00:00:16 eta=00:02:27
[a5_single_weekly_concat_5d] epoch 052/060 val_loss=225.78905029 best_val_loss=44.10697594 bad_epochs=7/8 epoch_time=00:00:16 eta=00:02:11
[a5_single_weekly_concat_5d] epoch 053/060 val_loss=226.37726135 best_val_loss=44.10697594 bad_epochs=8/8 epoch_time=00:00:16 eta=00:01:54
[a5_single_weekly_concat_5d] early stopping at epoch 53
[a5] done group=single_weekly horizon=5d test_mse=11.223811 test_corr=0.0513 (overall elapsed 00:48:36)
[a5] === run 5/24: group=double_short freqs=['hourly', 'halfday'] fusion=concat horizon=5d ===
[a5_double_short_concat_5d] epoch 001/060 val_loss=33207.63593750 best_val_loss=33207.63593750 bad_epochs=0/8 epoch_time=00:00:22 eta=00:21:47
[a5_double_short_concat_5d] epoch 002/060 val_loss=21513.01718750 best_val_loss=21513.01718750 bad_epochs=0/8 epoch_time=00:00:22 eta=00:21:24
[a5_double_short_concat_5d] epoch 003/060 val_loss=15219.50957031 best_val_loss=15219.50957031 bad_epochs=0/8 epoch_time=00:00:22 eta=00:21:00
[a5_double_short_concat_5d] epoch 004/060 val_loss=10121.33984375 best_val_loss=10121.33984375 bad_epochs=0/8 epoch_time=00:00:22 eta=00:20:38
[a5_double_short_concat_5d] epoch 005/060 val_loss=7591.38891602 best_val_loss=7591.38891602 bad_epochs=0/8 epoch_time=00:00:22 eta=00:20:16
[a5_double_short_concat_5d] epoch 006/060 val_loss=4597.10839844 best_val_loss=4597.10839844 bad_epochs=0/8 epoch_time=00:00:22 eta=00:19:55
[a5_double_short_concat_5d] epoch 007/060 val_loss=2980.14851074 best_val_loss=2980.14851074 bad_epochs=0/8 epoch_time=00:00:22 eta=00:19:33
